scope	source_tex	line	environment	label	caption
paper1	manuscripts/paper1/src/supplementary.tex	922	table	tab:supp_4bit_pcm	\textbf{4-bit PCM UnitCell.} 3-seed Mean: 76.71\%, Fresh: 76.68\%, Drop: 4.01~pp.
paper1	manuscripts/paper1/src/supplementary.tex	926	tabular	subsec:supp-late-recovery	\textbf{Provenance and Checkpoint Tracking.}
paper1	manuscripts/paper1/src/supplementary.tex	947	table	tab:supp_provenance	\textbf{Provenance and Checkpoint Tracking.}
paper1	manuscripts/paper1/src/supplementary.tex	953	tabular	subsec:supp-remote-validation
paper1	paper/latex_gpt/sections/03_methodology.tex	14	table	tab:hardware_constraints	\textbf{Canonical Simulation Parameters and Hardware Constraints.} These values define the default non-ideality regime for the Tiny-ViT-5M experiments unless otherwise specified.
paper1	paper/latex_gpt/sections/03_methodology.tex	18	tabular	subsec:modeling-nonidealities	Ensemble Hardware-Aware Training (HAT)
paper1	paper/latex_gpt/sections/04_experimental_setup.tex	7	table	tab:digital_baselines	\textbf{Evaluated backbones and digital (FP32) accuracy baselines.} Data establishes the ideal software performance before analog non-ideality injection.
paper1	paper/latex_gpt/sections/04_experimental_setup.tex	11	tabular
paper1	paper/latex_gpt/sections/05_results.tex	12	table	tab:algorithmic_rescue	\textbf{IdealDevice pure-quantization ablation.} Data shows fresh-instance accuracy across three seeds for the AIHWKit IdealDevice model. These results establish algorithmic cross-instance robustness, not PCM physical deployment performance
paper1	paper/latex_gpt/sections/05_results.tex	16	tabular	tab:ablation_mapping	\textbf{Ablation of mapping and noise constraints.} Accuracy reported for the Tiny-ViT-5M backbone at 4-bit precision (where applicable) on CIFAR-10.
paper1	paper/latex_gpt/sections/05_results.tex	29	table	tab:ablation_mapping	\textbf{Ablation of mapping and noise constraints.} Accuracy reported for the Tiny-ViT-5M backbone at 4-bit precision (where applicable) on CIFAR-10.
paper1	paper/latex_gpt/sections/05_results.tex	33	tabular	subsec:pcm-precision-ladder	\textbf{PCM Precision Ladder and Stability Frontier.} Fresh accuracy reflects corrected new-protocol evaluations (3 seeds for 4/8-bit; 4 seeds for 6-bit). The retention columns are from the drift-evaluation protocol; $\Delta$ drift is compu
paper1	paper/latex_gpt/sections/05_results.tex	54	table	tab:pcm_precision_ladder	\textbf{PCM Precision Ladder and Stability Frontier.} Fresh accuracy reflects corrected new-protocol evaluations (3 seeds for 4/8-bit; 4 seeds for 6-bit). The retention columns are from the drift-evaluation protocol; $\Delta$ drift is compu
paper1	paper/latex_gpt/sections/05_results.tex	58	tabular	subsec:iso-accuracy	\textbf{Physical constraints and the iso-accuracy operating envelope.} Contour map under joint ADC precision and D2D mismatch sweep. Readout precision forms a hard cliff below 6 bits, above which D2D variability dictates the operational bou
paper1	paper/latex_gpt/sections/06_discussion.tex	26	table	tab:deployment_risks	\textbf{Deployment Risk Ranking and Mitigation Strategies.} Factors are ranked by their impact on categorical accuracy as identified by Sobol sensitivity analysis and precision-ladder sweeps.
paper1	paper/latex_gpt/sections/06_discussion.tex	30	tabular
paper1	paper/latex_gpt/supplementary.tex	19	table	tab:asymmetry-sensitivity	\textbf{Differential-pair asymmetry sensitivity.} Accuracy degradation under systematic branch mismatch for Tiny-ViT V4 (CIFAR-10).
paper1	paper/latex_gpt/supplementary.tex	23	tabular	fig:supp-asymmetry-concept	\textbf{Differential-pair asymmetry concept.} Systematic branch mismatch changes the effective differential signal; Table~\ref{tab:asymmetry-sensitivity} gives the accuracy sensitivity.
paper1	paper/latex_gpt/supplementary.tex	58	table	tab:nonideality-sensitivity	\textbf{Physical non-ideality sensitivity.} Accuracy degradation under IR drop and sneak-path effects for Tiny-ViT V4 (CIFAR-10).
paper1	paper/latex_gpt/supplementary.tex	63	tabular	fig:supp-nonideality	\textbf{Physical non-idealities in resistive arrays.} IR drop and sneak paths perturb the read conductance; Table~\ref{tab:nonideality-sensitivity} reports the first-order sensitivity probe.
paper1	paper/latex_gpt/supplementary.tex	103	table	tab:supp-operator-mapping	\textbf{Analog/digital operator mapping rationale.}
paper1	paper/latex_gpt/supplementary.tex	108	tabular	subsec:supp-weight-mapping	\textbf{Weight-to-conductance mapping pipeline.} Digital weights are quantized, mapped to differential conductance pairs, perturbed by D2D/C2C device terms, accumulated in the analog domain, digitized, and recovered with a layer-wise scale
paper1	paper/latex_gpt/supplementary.tex	221	table	tab:supp-notation	\textbf{Unified model notation.}
paper1	paper/latex_gpt/supplementary.tex	225	tabular	subsec:detailed-experiment-matrix	\textbf{Digital FP32 baselines for the evaluated backbones and datasets.}
paper1	paper/latex_gpt/supplementary.tex	253	table	tab:supp-fp32-baselines	\textbf{Digital FP32 baselines for the evaluated backbones and datasets.}
paper1	paper/latex_gpt/supplementary.tex	257	tabular	tab:supp-result-summary	\textbf{Summary of classification accuracy (\%) across architectures and physical regimes.} Cross-dataset deployment rows report locked best-checkpoint values; entries with $\pm$ denote stochastic physical-extension evaluations. \notrun{} d
paper1	paper/latex_gpt/supplementary.tex	267	table	tab:supp-result-summary	\textbf{Summary of classification accuracy (\%) across architectures and physical regimes.} Cross-dataset deployment rows report locked best-checkpoint values; entries with $\pm$ denote stochastic physical-extension evaluations. \notrun{} d
paper1	paper/latex_gpt/supplementary.tex	272	tabular	subsec:parameter-provenance	Three-seed fresh-instance reproducibility summary for the uniform-noise Ensemble HAT regime (V4).
paper1	paper/latex_gpt/supplementary.tex	301	table	tab:v4-three-seed-summary	Three-seed fresh-instance reproducibility summary for the uniform-noise Ensemble HAT regime (V4).
paper1	paper/latex_gpt/supplementary.tex	305	tabular	tab:provenance	Parameter provenance tracking matrix.
paper1	paper/latex_gpt/supplementary.tex	321	table	tab:provenance	Parameter provenance tracking matrix.
paper1	paper/latex_gpt/supplementary.tex	328	tabular	fig:supp-contour-map	\textbf{Zhang-proxy C2C/D2D sensitivity sweep.} Cells show 10-MC mean accuracy; the nominal proxy point is outlined. Accuracy is driven mainly by D2D mismatch, while C2C is flat within MC uncertainty.
paper1	paper/latex_gpt/supplementary.tex	366	table	tab:sensitivity	Ensemble HAT accuracy under a Zhang-proxy C2C/D2D sensitivity sweep.
paper1	paper/latex_gpt/supplementary.tex	371	tabular	tab:adc-nonideality	Hook-based ADC non-ideality check for the canonical Tiny-ViT V4 deployment. Offset, gain, and INL are injected at calibrated analog-layer outputs during full-test inference on CIFAR-10.
paper1	paper/latex_gpt/supplementary.tex	385	table	tab:adc-nonideality	Hook-based ADC non-ideality check for the canonical Tiny-ViT V4 deployment. Offset, gain, and INL are injected at calibrated analog-layer outputs during full-test inference on CIFAR-10.
paper1	paper/latex_gpt/supplementary.tex	389	tabular	fig:supp-sobol	Retention accuracy comparison: uniform vs. state-dependent decay.
paper1	paper/latex_gpt/supplementary.tex	418	table	tab:retention-comparison	Retention accuracy comparison: uniform vs. state-dependent decay.
paper1	paper/latex_gpt/supplementary.tex	422	tabular	tab:supp-flowers-results	Classification accuracy (\%) on Flowers-102 across physical regimes. The asterisk marks a single-run ConvNeXt boundary estimate and should not be interpreted as a stable cross-architecture baseline.
paper1	paper/latex_gpt/supplementary.tex	439	table	tab:supp-flowers-results	Classification accuracy (\%) on Flowers-102 across physical regimes. The asterisk marks a single-run ConvNeXt boundary estimate and should not be interpreted as a stable cross-architecture baseline.
paper1	paper/latex_gpt/supplementary.tex	443	tabular	subsec:supp-methods
paper1	paper/latex_gpt/supplementary.tex	617	table	tab:supp-frontend-gamma-scan	\textbf{ResNet-18 HAT accuracy (\%) under inverse-gamma compensation.} Each cell reports compensated / raw accuracy and the gain in percentage points.
paper1	paper/latex_gpt/supplementary.tex	623	tabular	note:optimal-gamma	\textbf{Impact of front-end nonlinearity and dark current.} Inverse-gamma compensation helps in dark regimes but amplifies noise elsewhere.
paper1	paper/latex_gpt/supplementary.tex	682	table	tab:retention-sensitivity	\textbf{Retention sensitivity to the persistent fraction $A_0$ across time scales.}
paper1	paper/latex_gpt/supplementary.tex	686	tabular	subsec:inorganic-comparison	\textbf{Comparison of HAT method robustness under varying weight precision and noise regimes.}
paper1	paper/latex_gpt/supplementary.tex	708	table	tab:aihwkit-comparison	\textbf{Comparison of HAT method robustness under varying weight precision and noise regimes.}
paper1	paper/latex_gpt/supplementary.tex	713	tabular	tab:pcm-comparison	\textbf{PCM vs. IdealDevice comparison.} Training-domain best accuracy and fresh-instance mean ($\pm$ std) for AIHWKit IdealDevice and PCM device models, contrasted with Ensemble HAT. Drift impact reports accuracy excursion across 0~s, 1~h,
paper1	paper/latex_gpt/supplementary.tex	725	table	tab:pcm-comparison	\textbf{PCM vs. IdealDevice comparison.} Training-domain best accuracy and fresh-instance mean ($\pm$ std) for AIHWKit IdealDevice and PCM device models, contrasted with Ensemble HAT. Drift impact reports accuracy excursion across 0~s, 1~h,
paper1	paper/latex_gpt/supplementary.tex	731	tabular	subsec:parameter-risk-matrix	\textbf{Core Parameter Risk and Robustness Assessment.}
paper1	paper/latex_gpt/supplementary.tex	762	table	tab:parameter-risk	\textbf{Core Parameter Risk and Robustness Assessment.}
paper1	paper/latex_gpt/supplementary.tex	767	tabular	fig:supp-nl-gradient	\textbf{Group-wise gradient distortion under severe nonlinear write.} Frozen-checkpoint diagnostics compare \texttt{NL=1.0} with group-local \texttt{NL=2.0}; only the backward surrogate changes.
paper1	paper/latex_gpt/supplementary.tex	795	table	tab:supp-nl-ablation	\textbf{Group-wise nonlinearity ablation under global $NL=2.0$.} Rows report best/final test accuracy when one group is protected at $NL=1.0$. $^\dagger$ and $^\ddagger$ mark earlier diagnostics retained only as source-domain gradient evide
paper1	paper/latex_gpt/supplementary.tex	801	tabular	tab:r10d-nl-interpolation	\textbf{Intermediate nonlinearity interpolation (R10D).} Rows report source-domain best and fresh-instance accuracy for seed~123 at intermediate $NL$ values; canonical endpoints use the locked aggregate values.
paper1	paper/latex_gpt/supplementary.tex	817	table	tab:r10d-nl-interpolation	\textbf{Intermediate nonlinearity interpolation (R10D).} Rows report source-domain best and fresh-instance accuracy for seed~123 at intermediate $NL$ values; canonical endpoints use the locked aggregate values.
paper1	paper/latex_gpt/supplementary.tex	822	tabular	fig:supp-corr-d2d	\textbf{Spatially correlated D2D mismatch.} Error bars show 10-array fresh-instance spread. Correlation degrades accuracy but preserves the ranking above the Standard-HAT collapse baseline.
paper1	paper/latex_gpt/supplementary.tex	891	table	tab:supp_8bit_pcm	\textbf{8-bit PCM UnitCell.} 3-seed Mean: 77.64\%, Fresh: 77.60\%, Drop: 0.04~pp.
paper1	paper/latex_gpt/supplementary.tex	895	tabular	tab:supp_6bit_pcm	\textbf{6-bit PCM UnitCell, corrected new protocol.} Four-seed fresh mean: 68.44\% with 6.03~pp seed-to-seed standard deviation. The completed 24~h drift closure gives a mean drift drop of 0.04~pp, confirming that the corrected 6-bit regime
paper1	paper/latex_gpt/supplementary.tex	906	table	tab:supp_6bit_pcm	\textbf{6-bit PCM UnitCell, corrected new protocol.} Four-seed fresh mean: 68.44\% with 6.03~pp seed-to-seed standard deviation. The completed 24~h drift closure gives a mean drift drop of 0.04~pp, confirming that the corrected 6-bit regime
paper1	paper/latex_gpt/supplementary.tex	910	tabular	tab:supp_4bit_pcm	\textbf{4-bit PCM UnitCell.} 3-seed Mean: 76.71\%, Fresh: 76.68\%, Drop: 4.01~pp.
paper1	paper/latex_gpt/supplementary.tex	922	table	tab:supp_4bit_pcm	\textbf{4-bit PCM UnitCell.} 3-seed Mean: 76.71\%, Fresh: 76.68\%, Drop: 4.01~pp.
paper1	paper/latex_gpt/supplementary.tex	926	tabular	subsec:supp-late-recovery	\textbf{Provenance and Checkpoint Tracking.}
paper1	paper/latex_gpt/supplementary.tex	947	table	tab:supp_provenance	\textbf{Provenance and Checkpoint Tracking.}
paper1	paper/latex_gpt/supplementary.tex	953	tabular	subsec:supp-remote-validation
paper1	paper/latex_gpt/supplementary/S_energy_provenance.tex	10	table	tab:energy-provenance	\textbf{Provenance of energy-model constants.} Literature proxies and order-of-magnitude estimates are used for relative comparison, not routed-circuit prediction.
paper1	paper/latex_gpt/supplementary/S_energy_provenance.tex	13	tabular	tab:energy-provenance	\textbf{Provenance of energy-model constants.} Literature proxies and order-of-magnitude estimates are used for relative comparison, not routed-circuit prediction.
paper1	paper/latex_gpt/supplementary/S_mechanism_empirical.tex	13	table	tab:e2-landscape	\textbf{D2D loss-landscape interpolation for canonical Standard vs Ensemble HAT ($NL=1.0$).}
paper1	paper/latex_gpt/supplementary/S_mechanism_empirical.tex	17	tabular	fig:e2-landscape	\textbf{D2D-direction loss-landscape interpolation (E2).} Standard HAT collapses when moving from the training mask to a fresh mask; Ensemble HAT remains accurate at the fresh-mask point. Shading denotes $\pm 1$ standard deviation across th
paper1	paper/latex_gpt/supplementary/S_mechanism_empirical.tex	41	table	tab:e4-sensitivity	\textbf{Top-5 per-layer D2D sensitivity in canonical Ensemble HAT ($NL=1.0$).}
paper1	paper/latex_gpt/supplementary/S_mechanism_empirical.tex	45	tabular	fig:e4-sensitivity	\textbf{Top-1 absolute Hessian eigenvalue by checkpoint.}
paper1	paper/latex_gpt/supplementary/S_mechanism_empirical.tex	72	table	tab:e1-hessian	\textbf{Top-1 absolute Hessian eigenvalue by checkpoint.}
paper1	paper/latex_gpt/supplementary/S_mechanism_empirical.tex	76	tabular	fig:e1-hessian	\textbf{Hessian eigenspectrum approximation (E1).} Lanczos Ritz eigenvalues over analog parameters show that mask-specific flatness does not predict fresh-instance transfer; severe-NL checkpoints have much larger eigenvalues.
paper1	paper/latex_gpt/supplementary/S_opect_distribution.tex	14	table	tab:opect-provenance	\textbf{Provenance of OPECT profile parameters.}
paper1	paper/latex_gpt/supplementary/S_opect_distribution.tex	19	tabular	tab:opect-vs-canonical	\textbf{OPECT literature profile vs.~canonical Gaussian training prior.}
paper1	paper/latex_gpt/supplementary/S_opect_distribution.tex	39	table	tab:opect-vs-canonical	\textbf{OPECT literature profile vs.~canonical Gaussian training prior.}
paper1	paper/latex_gpt/supplementary/S_opect_distribution.tex	43	tabular
